group_id,orig_code,dest_code,route_str,pax,num_legs,dep_hhmm,arr_hhmm,travel_time_min,voos
257,BH,SP,BH->SP,200,1,21:00,22:00,60,V0583
258,BH,SP,BH->SP,100,1,07:00,08:00,60,V0046
259,BH,CR,BH->CR,200,1,16:00,18:00,120,V0497
260,BH,CR,BH->CR,100,1,17:00,19:00,120,V0503
261,BH,FL,BH->FL,200,1,06:00,08:00,120,V0013
262,BH,PA,BH->PA,200,1,07:00,10:00,180,V0053
263,CI,MA,CI->MA,200,1,07:00,10:00,180,V0055
264,CI,BE,CI->BE,200,1,10:00,13:00,180,V0207
265,CI,FO,CI->FO,200,1,07:00,11:00,240,V0058
266,CI,FO,CI->FO,100,1,10:00,14:00,240,V0221
267,CI,NA,CI->NA,200,1,09:00,13:00,240,V0163
268,CI,RE,CI->RE,200,1,16:00,20:00,240,V0491
269,CI,SA,CI->SA,200,1,13:00,16:00,180,V0371
270,CI,BR,CI->BR,200,1,11:00,12:00,60,V0255
271,CI,BR,CI->BR,100,1,14:00,15:00,60,V0386
272,CI,BH,CI->BH,200,1,07:00,09:00,120,V0062
273,CI,RJ,CI->RJ,200,1,09:00,12:00,180,V0151
274,CI,SP,CI->SP,200,1,12:00,15:00,180,V0314
275,CI,SP,CI->SP,200,1,13:00,16:00,180,V0368
276,CI,CR,CI->CR,100,1,13:00,16:00,180,V0365
277,CI,FL,CI->FL,100,1,07:00,10:00,180,V0070
278,CI,PA,CI->PA,200,1,12:00,16:00,240,V0313
279,RJ,MA,RJ->MA,200,1,11:00,16:00,300,V0252
280,RJ,MA,RJ->MA,200,1,14:00,19:00,300,V0382
281,RJ,MA,RJ->MA,200,1,16:00,21:00,300,V0478
282,RJ,BE,RJ->BE,200,1,07:00,11:00,240,V0073
283,RJ,BE,RJ->BE,200,1,09:00,13:00,240,V0153
284,RJ,BE,RJ->BE,200,1,12:00,16:00,240,V0308
285,RJ,BE,RJ->BE,100,1,15:00,19:00,240,V0431
286,RJ,FO,RJ->FO,200,1,14:00,18:00,240,V0422
287,RJ,FO,RJ->FO,200,1,15:00,19:00,240,V0432
288,RJ,FO,RJ->FO,200,1,10:00,14:00,240,V0229
289,RJ,FO,RJ->FO,200,2,11:00,16:00,300,V0272 | V0345
290,RJ,FO,RJ->FO,100,2,17:00,22:00,300,V0516 | V0577
291,RJ,NA,RJ->NA,200,1,11:00,15:00,240,V0261
292,RJ,NA,RJ->NA,200,1,14:00,18:00,240,V0420
293,RJ,NA,RJ->NA,200,1,07:00,11:00,240,V0075
294,RJ,RE,RJ->RE,200,1,06:00,09:00,180,V0009
295,RJ,RE,RJ->RE,200,1,08:00,11:00,180,V0121
296,RJ,RE,RJ->RE,200,1,13:00,16:00,180,V0360
297,RJ,RE,RJ->RE,200,1,16:00,19:00,180,V0476
298,RJ,RE,RJ->RE,200,1,19:00,22:00,180,V0554
299,RJ,SA,RJ->SA,200,1,10:00,12:00,120,V0217
300,RJ,SA,RJ->SA,200,1,11:00,13:00,120,V0265
301,RJ,SA,RJ->SA,200,1,12:00,14:00,120,V0302
302,RJ,SA,RJ->SA,200,1,13:00,15:00,120,V0354
303,RJ,SA,RJ->SA,100,1,15:00,17:00,120,V0440
304,RJ,BR,RJ->BR,200,1,07:00,09:00,120,V0078
305,RJ,BR,RJ->BR,200,1,09:00,11:00,120,V0175
306,RJ,BR,RJ->BR,200,1,10:00,12:00,120,V0208
307,RJ,BR,RJ->BR,200,1,11:00,13:00,120,V0271
308,RJ,BR,RJ->BR,200,1,14:00,16:00,120,V0412
309,RJ,BR,RJ->BR,200,1,15:00,17:00,120,V0449
310,RJ,BR,RJ->BR,200,1,17:00,19:00,120,V0512
311,RJ,BR,RJ->BR,200,1,19:00,21:00,120,V0552
312,RJ,BH,RJ->BH,200,1,07:00,08:00,60,V0082
313,RJ,BH,RJ->BH,200,1,08:00,09:00,60,V0112
314,RJ,BH,RJ->BH,200,1,13:00,14:00,60,V0349
315,RJ,BH,RJ->BH,200,1,17:00,18:00,60,V0508
316,RJ,BH,RJ->BH,100,1,18:00,19:00,60,V0545
317,RJ,CI,RJ->CI,200,1,07:00,10:00,180,V0083
318,RJ,CI,RJ->CI,200,1,12:00,15:00,180,V0297
319,RJ,CI,RJ->CI,200,1,13:00,16:00,180,V0344
320,RJ,CI,RJ->CI,200,1,14:00,17:00,180,V0398
321,RJ,CI,RJ->CI,100,1,15:00,18:00,180,V0458
322,RJ,SP,RJ->SP,200,1,07:00,08:00,60,V0086
323,RJ,SP,RJ->SP,200,1,10:00,11:00,60,V0205
324,RJ,SP,RJ->SP,200,1,12:00,13:00,60,V0290
325,RJ,SP,RJ->SP,200,1,14:00,15:00,60,V0396
326,RJ,SP,RJ->SP,200,1,15:00,16:00,60,V0461
327,RJ,SP,RJ->SP,200,1,16:00,17:00,60,V0471
328,RJ,SP,RJ->SP,200,1,17:00,18:00,60,V0504
329,RJ,SP,RJ->SP,200,1,18:00,19:00,60,V0546
330,RJ,SP,RJ->SP,200,1,19:00,20:00,60,V0568
331,RJ,SP,RJ->SP,200,1,20:00,21:00,60,V0571
332,RJ,SP,RJ->SP,200,1,21:00,22:00,60,V0584
333,RJ,SP,RJ->SP,200,1,06:00,07:00,60,V0006
334,RJ,SP,RJ->SP,100,2,18:00,22:00,240,V0532 | V0587
335,RJ,SP,RJ->SP,200,2,06:00,10:00,240,V0001 | V0141
336,RJ,SP,RJ->SP,200,2,18:00,22:00,240,V0548 | V0586
337,RJ,SP,RJ->SP,200,2,14:00,18:00,240,V0393 | V0520
338,RJ,SP,RJ->SP,200,2,17:00,21:00,240,V0528 | V0579
339,RJ,SP,RJ->SP,100,2,06:00,10:00,240,V0022 | V0168
340,RJ,CR,RJ->CR,200,1,10:00,12:00,120,V0200
341,RJ,CR,RJ->CR,200,1,13:00,15:00,120,V0339
342,RJ,CR,RJ->CR,200,1,19:00,21:00,120,V0557
343,RJ,CR,RJ->CR,100,1,06:00,08:00,120,V0022
344,RJ,CR,RJ->CR,100,2,18:00,22:00,240,V0532 | V0585
345,RJ,CR,RJ->CR,100,2,18:00,22:00,240,V0545 | V0578
346,RJ,FL,RJ->FL,200,1,08:00,10:00,120,V0095
347,RJ,FL,RJ->FL,200,1,13:00,15:00,120,V0335
348,RJ,FL,RJ->FL,200,1,14:00,16:00,120,V0387
349,RJ,FL,RJ->FL,200,2,06:00,10:00,240,V0008 | V0099
350,RJ,PA,RJ->PA,200,1,06:00,09:00,180,V0021
351,RJ,PA,RJ->PA,200,1,08:00,11:00,180,V0138
352,RJ,PA,RJ->PA,200,1,11:00,14:00,180,V0251
353,RJ,PA,RJ->PA,200,1,12:00,15:00,180,V0283
354,RJ,PA,RJ->PA,100,1,13:00,16:00,180,V0334
355,SP,MA,SP->MA,200,1,06:00,11:00,300,V0003
356,SP,MA,SP->MA,200,1,08:00,13:00,300,V0103
357,SP,MA,SP->MA,200,1,11:00,16:00,300,V0276
358,SP,MA,SP->MA,200,1,14:00,19:00,300,V0395
359,SP,BE,SP->BE,200,1,07:00,11:00,240,V0088
360,SP,BE,SP->BE,200,1,09:00,13:00,240,V0182
361,SP,BE,SP->BE,200,1,10:00,14:00,240,V0206
362,SP,BE,SP->BE,200,1,12:00,16:00,240,V0299
363,SP,BE,SP->BE,100,1,16:00,20:00,240,V0472
364,SP,FO,SP->FO,200,1,14:00,18:00,240,V0411
365,SP,FO,SP->FO,200,1,15:00,19:00,240,V0450
366,SP,FO,SP->FO,200,1,16:00,20:00,240,V0473
367,SP,FO,SP->FO,200,1,18:00,22:00,240,V0538
368,SP,FO,SP->FO,200,1,12:00,16:00,240,V0300
369,SP,FO,SP->FO,100,2,15:00,20:00,300,V0437 | V0553
370,SP,NA,SP->NA,200,1,08:00,12:00,240,V0116
371,SP,NA,SP->NA,200,1,11:00,15:00,240,V0266
372,SP,NA,SP->NA,200,1,13:00,17:00,240,V0359
373,SP,NA,SP->NA,100,1,14:00,18:00,240,V0419
374,SP,RE,SP->RE,200,1,08:00,11:00,180,V0137
375,SP,RE,SP->RE,200,1,10:00,13:00,180,V0234
376,SP,RE,SP->RE,100,1,15:00,18:00,180,V0437
377,SP,RE,SP->RE,200,1,16:00,19:00,180,V0481
378,SP,RE,SP->RE,200,1,07:00,10:00,180,V0071
379,SP,RE,SP->RE,200,2,17:00,22:00,300,V0510 | V0564
380,SP,RE,SP->RE,200,2,15:00,20:00,300,V0451 | V0533
381,SP,RE,SP->RE,100,2,16:00,21:00,300,V0484 | V0555
382,SP,SA,SP->SA,200,1,07:00,09:00,120,V0069
383,SP,SA,SP->SA,200,1,09:00,11:00,120,V0146
384,SP,SA,SP->SA,200,1,10:00,12:00,120,V0189
385,SP,SA,SP->SA,100,1,16:00,18:00,120,V0484
386,SP,SA,SP->SA,200,1,19:00,21:00,120,V0556
387,SP,SA,SP->SA,200,1,20:00,22:00,120,V0581
388,SP,SA,SP->SA,200,1,06:00,08:00,120,V0010
389,SP,BR,SP->BR,200,1,07:00,09:00,120,V0063
390,SP,BR,SP->BR,200,1,08:00,10:00,120,V0125
391,SP,BR,SP->BR,200,1,09:00,11:00,120,V0157
392,SP,BR,SP->BR,200,1,14:00,16:00,120,V0385
393,SP,BR,SP->BR,200,1,16:00,18:00,120,V0488
394,SP,BR,SP->BR,200,1,17:00,19:00,120,V0514
395,SP,BR,SP->BR,200,1,20:00,22:00,120,V0580
396,SP,BR,SP->BR,200,1,06:00,08:00,120,V0011
397,SP,BR,SP->BR,200,2,18:00,21:00,180,V0541 | V0573
398,SP,BR,SP->BR,200,2,16:00,19:00,180,V0492 | V0547
399,SP,BR,SP->BR,200,2,13:00,16:00,180,V0376 | V0438
400,SP,BR,SP->BR,200,2,11:00,14:00,180,V0259 | V0358
401,SP,BR,SP->BR,100,2,09:00,12:00,180,V0159 | V0268
402,SP,BH,SP->BH,100,1,09:00,10:00,60,V0159
403,SP,CI,SP->CI,200,1,07:00,10:00,180,V0057
404,SP,CI,SP->CI,200,1,08:00,11:00,180,V0113
405,SP,CI,SP->CI,200,1,09:00,12:00,180,V0179
406,SP,CI,SP->CI,200,1,12:00,15:00,180,V0321
407,SP,RJ,SP->RJ,200,1,07:00,08:00,60,V0051
408,SP,RJ,SP->RJ,200,1,08:00,09:00,60,V0098
409,SP,RJ,SP->RJ,200,1,09:00,10:00,60,V0139
410,SP,RJ,SP->RJ,200,1,10:00,11:00,60,V0188
411,SP,RJ,SP->RJ,200,1,11:00,12:00,60,V0281
412,SP,RJ,SP->RJ,200,1,12:00,13:00,60,V0328
413,SP,RJ,SP->RJ,200,1,13:00,14:00,60,V0373
414,SP,RJ,SP->RJ,200,1,14:00,15:00,60,V0404
415,SP,RJ,SP->RJ,200,1,17:00,18:00,60,V0527
416,SP,RJ,SP->RJ,200,1,18:00,19:00,60,V0530
417,SP,RJ,SP->RJ,200,1,19:00,20:00,60,V0560
418,SP,RJ,SP->RJ,200,1,20:00,21:00,60,V0574
